year,state,disabilityType,classOfWorker,percentage,numbers
2018,Alaska,Total Civilian Noninstitutionalized Population,,100,345520
2018,Alaska,With a Disability,,100,25436
2018,Alaska,No Disability,,100,320084
2018,Alaska,Total Civilian Noninstitutionalized Population,Private for-profit wage and salary workers,58.3,201438.16
2018,Alaska,With a Disability,Private for-profit wage and salary workers,53.9,13710.004
2018,Alaska,No Disability,Private for-profit wage and salary workers,58.6,187569.224
2018,Alaska,Total Civilian Noninstitutionalized Population,Employee of private company workers,54.4,187962.88
2018,Alaska,With a Disability,Employee of private company workers,50.7,12896.052
2018,Alaska,No Disability,Employee of private company workers,54.7,175085.948
2018,Alaska,Total Civilian Noninstitutionalized Population,Self-employed in own incorporated business workers,3.9,13475.28
2018,Alaska,With a Disability,Self-employed in own incorporated business workers,3.2,813.952
2018,Alaska,No Disability,Self-employed in own incorporated business workers,3.9,12483.276
2018,Alaska,Total Civilian Noninstitutionalized Population,Private not-for-profit wage and salary workers,9.7,33515.44
2018,Alaska,With a Disability,Private not-for-profit wage and salary workers,10.5,2670.78
2018,Alaska,No Disability,Private not-for-profit wage and salary workers,9.6,30728.064
2018,Alaska,Total Civilian Noninstitutionalized Population,Local government workers,9.6,33169.92
2018,Alaska,With a Disability,Local government workers,9.7,2467.292
2018,Alaska,No Disability,Local government workers,9.6,30728.064
2018,Alaska,Total Civilian Noninstitutionalized Population,State government workers,8.7,30060.24
2018,Alaska,With a Disability,State government workers,10.1,2569.036
2018,Alaska,No Disability,State government workers,8.6,27527.224
2018,Alaska,Total Civilian Noninstitutionalized Population,Federal government workers,7,24186.4
2018,Alaska,With a Disability,Federal government workers,3.9,992.004
2018,Alaska,No Disability,Federal government workers,7.3,23366.132
2018,Alaska,Total Civilian Noninstitutionalized Population,Self-employed in own not incorporated business workers,6.4,22113.28
2018,Alaska,With a Disability,Self-employed in own not incorporated business workers,10.9,2772.524
2018,Alaska,No Disability,Self-employed in own not incorporated business workers,6,19205.04
2018,Alaska,Total Civilian Noninstitutionalized Population,Unpaid family workers,0.4,1382.08
2018,Alaska,With a Disability,Unpaid family workers,1,254.36
2018,Alaska,No Disability,Unpaid family workers,0.3,960.252
2018,Maine,Total Civilian Noninstitutionalized Population,,100,678516
2018,Maine,With a Disability,,100,49684
2018,Maine,No Disability,,100,628832
2018,Maine,Total Civilian Noninstitutionalized Population,Private for-profit wage and salary workers,65.5,444427.98
2018,Maine,With a Disability,Private for-profit wage and salary workers,64.4,31996.496
2018,Maine,No Disability,Private for-profit wage and salary workers,65.6,412513.792
2018,Maine,Total Civilian Noninstitutionalized Population,Employee of private company workers,61.2,415251.792
2018,Maine,With a Disability,Employee of private company workers,61.5,30555.66
2018,Maine,No Disability,Employee of private company workers,61.1,384216.352
2018,Maine,Total Civilian Noninstitutionalized Population,Self-employed in own incorporated business workers,4.3,29176.188
2018,Maine,With a Disability,Self-employed in own incorporated business workers,2.9,1440.836
2018,Maine,No Disability,Self-employed in own incorporated business workers,4.4,27668.608
2018,Maine,Total Civilian Noninstitutionalized Population,Private not-for-profit wage and salary workers,13.9,94313.724
2018,Maine,With a Disability,Private not-for-profit wage and salary workers,15.5,7701.02
2018,Maine,No Disability,Private not-for-profit wage and salary workers,13.8,86778.816
2018,Maine,Total Civilian Noninstitutionalized Population,Local government workers,6.1,41389.476
2018,Maine,With a Disability,Local government workers,5.2,2583.568
2018,Maine,No Disability,Local government workers,6.2,38987.584
2018,Maine,Total Civilian Noninstitutionalized Population,State government workers,4.1,27819.156
2018,Maine,With a Disability,State government workers,3.9,1937.676
2018,Maine,No Disability,State government workers,4.1,25782.112
2018,Maine,Total Civilian Noninstitutionalized Population,Federal government workers,2.3,15605.868
2018,Maine,With a Disability,Federal government workers,2.5,1242.1
2018,Maine,No Disability,Federal government workers,2.2,13834.304
